0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
TATA IPL 2026 - Playing Squad,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Player,,Deduction,Player,,Deduction,Player,,Deduction,Player,,Deduction,Player,,Deduction
,Anshul Kamboj,340,,Abhishek Porel,400,,Anuj Rawat,30,,Ajinkya Rahane,150,,Abdul Samad,420
,Gurjapneet Singh,220,,Ajay Mandal,30,*,Glenn Phillips,200,,Angkrish Raghuvanshi,300,*,Aiden Markram,200
*,Jamie Overton,150,,Ashutosh Sharma,380,,Gurnoor Singh Brar,130,,Anukul Roy,40,,Akash Singh,30
,MS Dhoni,400,,Axar Patel,1650,,Ishant Sharma,75,,Harshit Rana,400,,Arjun Tendulkar (T),30
,Mukesh Choudhary,30,*,Dushmantha Chameera,75,,Jayant Yadav,75,,Manish Pandey,75,,Arshin Kulkarni,30
*,Nathan Ellis,200,,Karun Nair,50,*,Jos Buttler,1575,,Ramandeep Singh,400,,Avesh Khan,975
*,Noor Ahmad,1000,,KL Rahul,1400,*,Kagiso Rabada,1075,,Rinku Singh,1300,,Ayush Badoni,400
,Ramakrishna Ghosh,30,,Kuldeep Yadav,1325,,Kumar Kushagra,65,*,Rovman Powell,150,,Digvesh Rathi,30
,Sanju Samson (T),1800,,Madhav Tiwari,40,,Manav Suthar,30,*,Sunil Narine,1200,,Himmat Singh,30
,Ruturaj Gaikwad,1800,*,Mitchell Starc,1175,,Mohammad Siraj,1225,,Umran Malik,75,,Manimaran Siddharth,75
,Shivam Dube,1200,,Mukesh Kumar,800,,Mohd. Arshad Khan,130,,Vaibhav Arora,180,*,Matthew Breetzke,75
,Shreyas Gopal,30,,Nitish Rana (T),420,,Nishant Sindhu,30,,Varun Chakaravarthy,1200,,Mayank Yadav,1100
,Syed Khaleel Ahmed,480,,Sameer Rizvi,95,,Prasidh Krishna,950,,,,,Md Shami (T),1000
,Ayush Mhatre,30,,T. Natarajan,1075,,R. Sai Kishore,200,,,,*,Mitchell Marsh,340
*,Dewald Brevis,220,,Tripurana Vijay,30,,Rahul Tewatia,400,,,,,Mohsin Khan,400
,Urvil Patel,30,*,Tristan Stubbs,1000,*,Rashid Khan,1800,,,,*,Nicholas Pooran,2100
,,,,Vipraj Nigam,50,,Sai Sudharsan,850,,,,,Prince Yadav,30
,,,,,,,Shahrukh Khan,400,,,,,Rishabh Pant,2700
,,,,,,,Shubman Gill,1650,,,,,Shahbaz Ahmed,240
,,,,,,,Washington Sundar,320,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,No of Players,16,,No of Players,17,,No of Players,20,,No of Players,12,,No of Players,19
,No of Overseas Players,4,,No of Overseas Players,3,,No of Overseas Players,4,,No of Overseas Players,2,,No of Overseas Players,4
,Total money spent,8160,,Total money spent,10320,,Total money spent,11210,,Total money spent,6070,,Total money spent,10205
,Salary cap available,4340,,Salary cap available,2180,,Salary cap available,1290,,Salary cap available,6430,,Salary cap available,2295
* = Overseas player,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Player,,Deduction,Player,,Deduction,Player,,Deduction,Player,,Deduction,Player,,Deduction
*,Allah Ghazanfar,480,,Arshdeep Singh,1800,,Dhruv Jurel,1400,,Abhinandan Singh,30,,Abhishek Sharma,1400
,Ashwani Kumar,30,*,Azmatullah Omarzai,240,*,Donovan Ferreira(T),100,,Bhuvneshwar Kumar,1075,,Aniket Verma,30
*,Corbin Bosch,75,,Harnoor Pannu,30,*,Jofra Archer,1250,,Devdutt Padikkal,200,*,Brydon Carse,100
,Deepak Chahar,925,,Harpreet Brar,150,*,Kwena Maphaka,150,*,Jacob Bethell,260,*,Eshan Malinga,120
,Hardik Pandya,1635,*,Lockie Ferguson,200,*,Lhuan-Dre Pretorious,30,,Jitesh Sharma,1100,,Harsh Dubey,30
,Jasprit Bumrah,1800,*,Marco Jansen,700,*,Nandre Burger,350,*,Josh Hazlewood,1250,,Harshal Patel,800
,Mayank Markande (T),30,*,Marcus Stoinis,1100,,Ravindra Jadeja (T),1400,,Krunal Pandya,575,*,Heinrich Klaasen,2300
*,Mitchell Santner,200,*,Mitch Owen,300,,Riyan Parag,1400,*,Nuwan Thushara,160,,Ishan Kishan,1125
,Naman Dhir,525,,Musheer Khan,30,*,Sam Curran (T),240,*,Phil Salt,1150,,Jaydev Unadkat,100
,Raghu Sharma,30,,Nehal Wadhera,420,,Sandeep Sharma,400,,Rajat Patidar,1100,*,Kamindu Mendis,75
,Raj Angad Bawa,30,,Prabhsimran Singh,400,*,Shimron Hetmyer,1100,,Rasikh Dar,600,,Nitish Kumar Reddy,600
,Robin Minz,65,,Priyansh Arya,380,,Shubham Dubey,80,*,Romario Shepherd,150,*,Pat Cummins,1800
,Rohit Sharma,1630,,Pyla Avinash,30,,Tushar Deshpande,650,,Suyash Sharma,260,,Smaran Ravichandaran,30
*,Ryan Rickelton,100,,Shashank Singh,550,,Vaibhav Suryavanshi,110,,Swapnil Singh,50,*,Travis Head,1400
,Shardul Thakur (T),200,,Shreyas Iyer,2675,,Yashaswi Jaiswal,1800,*,Tim David,300,,Zeeshan Ansari,40
*,Sherfane Rutherford (T),260,,Suryansh Shedge,30,,Yudhvir Charak,35,,Virat Kohli,2100,,,
,Suryakumar Yadav,1635,,Vishnu Vinod,95,,,,,Yash Dayal,500,,,
,Tilak Verma,800,,Vyshak Vijaykumar,180,,,,,,,,,
*,Trent Boult,1250,*,Xavier Bartlett,80,,,,,,,,,
*,Will Jacks,525,,Yash Thakur,160,,,,,,,,,
,,,,Yuzvendra Chahal,1800,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,No of Players,20,,No of Players,21,,No of Players,16,,No of Players,17,,No of Players,15
,No of Overseas Players,7,,No of Overseas Players,6,,No of Overseas Players,7,,No of Overseas Players,6,,No of Overseas Players,6
,Total money spent,12225,,Total money spent,11350,,Total money spent,10895,,Total money spent,10860,,Total money spent,9950
,Salary cap available,275,,Salary cap available,1150,,Salary cap available,1605,,Salary cap available,1640,,Salary cap available,2550
